ProjectID,TaskID,Date,PctPlanned,PctComplete,AC,EV,PV
P001,P001-T001,2025-10-14,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-10-21,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-10-28,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-11-04,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-11-11,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-11-18,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-11-25,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-12-02,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-12-09,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-12-16,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-12-23,0.0,0.0,0.0,0.0,0.0
P001,P001-T001,2025-12-30,0.2069,0.1554,24351.19,22665.93,30169.49
P001,P001-T001,2026-01-06,0.4483,0.4426,68287.44,64545.95,65367.24
P001,P001-T002,2025-10-14,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-10-21,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-10-28,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-11-04,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-11-11,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-11-18,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-11-25,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-12-02,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-12-09,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-12-16,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-12-23,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2025-12-30,0.0,0.0,0.0,0.0,0.0
P001,P001-T002,2026-01-06,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-10-14,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-10-21,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-10-28,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-11-04,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-11-11,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-11-18,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-11-25,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-12-02,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-12-09,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-12-16,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-12-23,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2025-12-30,0.0,0.0,0.0,0.0,0.0
P001,P001-T003,2026-01-06,0.0,0.0,0.0,0.0,0.0
P001,P001-T004,2025-10-14,0.0,0.0,0.0,0.0,0.0
P001,P001-T004,2025-10-21,0.0,0.0,0.0,0.0,0.0
P001,P001-T004,2025-10-28,0.0,0.0,0.0,0.0,0.0
